
A ア
I イ
U ウ
E エ
O オ

KA カ
KI キ
KU ク
KE ケ
KO コ

SA サ
SHI シ
SU ス
SE セ
SO ソ

TA タ
CHI チ
TSU ツ
TE テ
TO ト

NA ナ
NI ニ
NU ヌ
NE ネ
NO ノ

HA ハ
HI ヒ
FU フ
HE ヘ
HO ホ

MA マ
MI ミ
MU ム
ME メ
MO モ

YA ヤ
YU ユ
YO ヨ

RA ラ
RI リ
RU ル
RE レ
RO ロ

WA ワ
WO ヲ

N. ン

GA ガ
GI ギ
GU グ
GE ゲ
GO ゴ

ZA ザ
JI ジ
ZU ズ
ZE ゼ
ZO ゾ

DA ダ
DI ヂ   // pronounced "ji"
DU ヅ   // pronounced "zu"
DE デ
DO ド

BA バ
BI ビ
BU ブ
BE ベ
BO ボ

PA パ
PI ピ
PU プ
PE ペ
PO ポ

SK ッ

KYA キャ
KYU キュ
KYO キョ

SHA シャ
SHU シュ
SHE シェ
SHO ショ

CHA チャ
CHU チュ
CHE チェ
CHO チョ

NYA ニャ
NYU ニュ
NYO ニョ

HYA ヒャ
HYU ヒュ
HYO ヒョ

MYA ミャ
MYU ミュ
MYO ミョ

RYA リャ
RYU リュ
RYO リョ

GYA ギャ
GYU ギュ
GYO ギョ

JA ジャ
JU ジュ
JE ジェ
JO ジョ

BYA ビャ
BYU ビュ
BYO ビョ

PYA ピャ
PYU ピュ
PYO ピョ

WI ウィ
WE ウェ
WO ウォ

TSA ツァ
TSI ツィ
TSE ツェ
TSO ツォ

TI ティ

FA ファ
FI フィ
FYU フュ
FE フェ
FO フォ

DI ディ
DYU デュ

VA ヴァ
VI ヴィ
VU ヴ
VE ヴェ
VO ヴォ
